name,state,type,latitude,longitude,radius_km
Jim Corbett National Park,Uttarakhand,Forest / Tiger Reserve,29.53,78.7747,25
Similipal National Park,Odisha,Dense Biosphere / Forest Reserve,21.8656,86.3312,30
Bandhavgarh National Park,Madhya Pradesh,Forest / Tiger Reserve,23.7214,81.0256,20
Kanha National Park,Madhya Pradesh,Sal & Bamboo Forest Reserve,22.3345,80.6115,25
Kaziranga National Park,Assam,Wetland & Forest Reserve,26.5775,93.1711,20
Sundarbans Biosphere Reserve,West Bengal,Mangrove Forest Reserve,21.9497,89.1833,40
Gir Forest National Park,Gujarat,Dry Deciduous Forest,21.1241,70.8242,25
Silent Valley National Park,Kerala,Tropical Evergreen Rainforest,11.0833,76.45,15
Ranthambore National Park,Rajasthan,Deciduous Forest Reserve,26.0173,76.5026,20
Mudumalai National Park,Tamil Nadu,Western Ghats Forest Reserve,11.5623,76.5342,20
