name,type,category,capacity_mw,lat,lon,source
ACME Solar Tower,Power Plant (Solar),Thermal/Power Industry,2.5,28.1839,73.2407,WRI Power Database
ADITYA CEMENT WORKS,Power Plant (Coal),Thermal/Power Industry,98.0,24.7663,74.609,WRI Power Database
AES Saurashtra Windfarms,Power Plant (Wind),Thermal/Power Industry,39.2,21.9038,69.3732,WRI Power Database
AGARTALA GT,Power Plant (Gas),Thermal/Power Industry,135.0,23.8712,91.3602,WRI Power Database
AKALTARA TPP,Power Plant (Coal),Thermal/Power Industry,1800.0,21.9603,82.4091,WRI Power Database
AKRIMOTA LIG,Power Plant (Coal),Thermal/Power Industry,250.0,23.7689,68.6447,WRI Power Database
ALIYAR,Power Plant (Hydro),Thermal/Power Industry,60.0,10.4547,77.0078,WRI Power Database
ALLAIN DUHANGAN,Power Plant (Hydro),Thermal/Power Industry,192.0,32.2258,77.207,WRI Power Database
ALMATTI DAM,Power Plant (Hydro),Thermal/Power Industry,290.0,16.33,75.8863,WRI Power Database
AMAR KANTAK,Power Plant (Coal),Thermal/Power Industry,210.0,23.1642,81.6373,WRI Power Database
AMARAVATI TPP,Power Plant (Coal),Thermal/Power Industry,1350.0,21.0782,77.9009,WRI Power Database
ANANDPUR SAHIB ST-I&II,Power Plant (Hydro),Thermal/Power Industry,134.0,31.2717,76.4938,WRI Power Database
"ANAPARA ""C""",Power Plant (Coal),Thermal/Power Industry,1200.0,24.2007,82.8,WRI Power Database
ANDHRA,Power Plant (Hydro),Thermal/Power Industry,16.95,31.2412,77.8769,WRI Power Database
ANPARA,Power Plant (Coal),Thermal/Power Industry,2630.0,24.201,82.7891,WRI Power Database
ANTA GT,Power Plant (Gas),Thermal/Power Industry,419.33,25.1797,76.3188,WRI Power Database
ANUPPUR,Power Plant (Coal),Thermal/Power Industry,600.0,23.0666,81.7841,WRI Power Database
ANUPUR TPP,Power Plant (Coal),Thermal/Power Industry,1200.0,23.0655,81.7865,WRI Power Database
ARVINDNAGAR SUGAR,Power Plant (Biomass),Thermal/Power Industry,10.0,18.0845,76.1851,WRI Power Database
ASHOKNAGAR MILL,Power Plant (Biomass),Thermal/Power Industry,17.0,19.5867,74.7061,WRI Power Database
ATHANI SUGAR,Power Plant (Biomass),Thermal/Power Industry,24.0,16.7708,74.9191,WRI Power Database
AURAIYA GT,Power Plant (Gas),Thermal/Power Industry,652.0,26.6282,79.5286,WRI Power Database
AVANTHA BHANDAR TPP,Power Plant (Coal),Thermal/Power Industry,600.0,21.7438,83.2741,WRI Power Database
AWARPUR CEMENT PLANT,Power Plant (Coal),Thermal/Power Industry,46.0,19.7881,79.1518,WRI Power Database
Abhijeet,Power Plant (Solar),Thermal/Power Industry,50.0,26.8278,70.9197,WRI Power Database
Achampet,Power Plant (Solar),Thermal/Power Industry,5.5,16.3893,78.6621,WRI Power Database
Achampet Solarpack,Power Plant (Solar),Thermal/Power Industry,15.0,16.389,78.676,WRI Power Database
Achampet Suzlon,Power Plant (Solar),Thermal/Power Industry,15.0,16.407,78.7,WRI Power Database
Agaram A,Power Plant (Solar),Thermal/Power Industry,20.0,10.456,77.924,WRI Power Database
